GEO_ID,county,ln_hh_inc_x,eqi_2jan2018_vc,Total,population.x,superfund,insecticide_ln_x,gini_est_x,std_coal_prim_pop_ln_y,hc_env_rate_ln_x,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population.y
0500000US05075,"Lawrence County, AR",8.8199606,0.315157682,1107,86690,TRUE,8.542324732,0.427,-14.28535668,-6.051515102,Lawrence,Lawrence County,05075,AR,Arkansas,36.0412,-91.1071,16549
0500000US29109,"Lawrence County, MO",9.6186676,0.207935333,2110,191896,TRUE,7.220678594,0.421,-14.28535668,-5.94676733,Lawrence,Lawrence County,29109,MO,Missouri,37.1064,-93.833,38204
0500000US39087,"Lawrence County, OH",10.111761,1.202283382,3538,313303,TRUE,5.908309362,0.434,-7.575166438,-5.973217487,Lawrence,Lawrence County,39087,OH,Ohio,38.5984,-82.5368,60184
0500000US46081,"Lawrence County, SD",9.2734089,-1.184707403,1043,118252,TRUE,7.179123755,0.455,-14.28535668,-5.445451736,Lawrence,Lawrence County,46081,SD,South Dakota,44.3586,-103.7923,25478
0500000US47099,"Lawrence County, TN",9.6668787,0.57098484,2321,206473,TRUE,7.84454774,0.438,-14.28535668,-5.7981138229999996,Lawrence,Lawrence County,47099,TN,Tennessee,35.2173,-87.3956,43390
0500000US42075,"Lebanon County, PA",10.850172,1.35114336,6742,656585,TRUE,8.573289931,0.402,-14.28535668,-5.754993916,Lebanon,Lebanon County,42075,PA,Pennsylvania,40.3672,-76.4577,139729
0500000US19111,"Lee County, IA",9.5633888,-0.20328176,2120,179958,TRUE,8.306122305,0.412,-14.28535668,-5.582158566,Lee,Lee County,19111,IA,Iowa,40.642,-91.4793,34227
0500000US26089,"Leelanau County, MI",9.1430244,0.302669346,969,108790,TRUE,9.926759237,0.451,-14.28535668,-5.542784691,Leelanau,Leelanau County,26089,MI,Michigan,44.9386,-85.8118,21652
0500000US42077,"Lehigh County, PA",11.797194,0.928707063,15508,1719119,TRUE,8.579175323,0.438,-12.56665426,-5.256011486,Lehigh,Lehigh County,42077,PA,Pennsylvania,40.6127,-75.5923,365052
0500000US16059,"Lemhi County, ID",8.1732931,-1.632273436,429,39283,TRUE,8.48246026,0.449,-14.28535668,-5.315602779,Lemhi,Lemhi County,16059,ID,Idaho,44.9433,-113.9333,7847
0500000US26091,"Lenawee County, MI",10.540884,0.504819989,4573,504683,TRUE,8.833960653,0.393,-14.28535668,-5.700704098,Lenawee,Lenawee County,26091,MI,Michigan,41.8951,-84.0664,98381
0500000US12073,"Leon County, FL",11.60198,-0.695951283,7820,1351475,TRUE,6.009099795,0.488,-14.28535668,-5.44290781,Leon,Leon County,12073,FL,Florida,30.458,-84.2779,289770
0500000US53041,"Lewis County, WA",10.285002,-0.874047875,3766,373217,TRUE,7.48461674,0.405,-10.11707949,-5.585844994,Lewis,Lewis County,53041,WA,Washington,46.5778,-122.3927,78145
0500000US45063,"Lexington County, SC",11.520824,1.086322904,9941,1261801,TRUE,8.312133062,0.416,-14.28535668,-5.695398808,Lexington,Lexington County,45063,SC,South Carolina,33.9023,-81.2722,290278
0500000US48291,"Liberty County, TX",10.087225,0.812169075,3484,374383,TRUE,7.068505562,0.413,-14.28535668,-6.063296318,Liberty,Liberty County,48291,TX,Texas,30.1516,-94.8122,83702
0500000US01083,"Limestone County, AL",10.309886,1.562284112,3166,392657,TRUE,9.766535554,0.435,-14.28535668,-6.224099636,Limestone,Limestone County,01083,AL,Alabama,34.8101,-86.9814,94727
0500000US29113,"Lincoln County, MO",9.8015099,0.888849258,1941,256531,TRUE,8.184657862,0.371,-14.28535668,-6.381188393,Lincoln,Lincoln County,29113,MO,Missouri,39.058,-90.9601,56477
0500000US30053,"Lincoln County, MT",9.1309729,-2.217079163,1124,97553,TRUE,5.431718542,0.427,-14.28535668,-5.728830814,Lincoln,Lincoln County,30053,MT,Montana,48.5424,-115.4051,19537
0500000US35027,"Lincoln County, NM",9.0628843,-1.848755479,849,102506,TRUE,4.912225872,0.419,-14.28535668,-5.303061008,Lincoln,Lincoln County,35027,NM,New Mexico,33.7453,-105.4593,19461
0500000US19113,"Linn County, IA",11.355652,1.218705773,7916,1038550,TRUE,9.13263015,0.423,-14.28535668,-5.631320477,Linn,Linn County,19113,IA,Iowa,42.079,-91.599,223861
0500000US41043,"Linn County, OR",10.700432,0.420978785,5703,571336,TRUE,8.496384859,0.405,-14.28535668,-5.9019308090000004,Linn,Linn County,41043,OR,Oregon,44.4889,-122.535,125048
0500000US09005,"Litchfield County, CT",11.2475,1.196394801,8359,949665,TRUE,7.554177661,0.428,-14.28535668,-5.451207161,Litchfield,Litchfield County,09005,CT,Connecticut,41.7925,-73.2453,182002
0500000US26093,"Livingston County, MI",11.116395,1.688793302,5808,906743,TRUE,7.45293885,0.387,-14.28535668,-5.755184174,Livingston,Livingston County,26093,MI,Michigan,42.6029,-83.9115,189754
0500000US36051,"Livingston County, NY",10.091418000000001,0.456733972,2538,327267,TRUE,9.260229139,0.392,-14.28535668,-5.825480461,Livingston,Livingston County,36051,NY,New York,42.7281,-77.7755,63591
0500000US22063,"Livingston Parish, LA",10.668072,0.611022472,4427,613468,TRUE,3.395067521,0.4,-14.28535668,-6.589504719,Livingston,Livingston Parish,22063,LA,Louisiana,30.4401,-90.7279,138928
0500000US21141,"Logan County, KY",9.2777185,0.589880586,1458,134188,TRUE,8.850616738,0.456,-14.28535668,-5.697652817,Logan,Logan County,21141,KY,Kentucky,36.8597,-86.8789,26902
0500000US05085,"Lonoke County, AR",10.09146,0.79591769,2712,328950,TRUE,9.82413766,0.391,-14.28535668,-6.205230713,Lonoke,Lonoke County,05085,AR,Arkansas,34.7542,-91.8888,72528
0500000US39093,"Lorain County, OH",11.648147,1.257527947,13186,1497931,TRUE,8.35478406,0.423,-14.28535668,-5.755383968,Lorain,Lorain County,39093,OH,Ohio,41.2956,-82.1512,307670
0500000US06037,"Los Angeles County, CA",14.984236,0.133244127,290908,48779466,TRUE,8.497947509,0.489,-14.28535668,-5.204273224,Los Angeles,Los Angeles County,06037,CA,California,34.3207,-118.2248,10081570
0500000US51107,"Loudoun County, VA",11.4651,0.99913919,4556,1455440,TRUE,7.801848117,0.367,-14.28535668,-5.69235611,Loudoun,Loudoun County,51107,VA,Virginia,39.0907,-77.6357,395134
0500000US42079,"Luzerne County, PA",11.781845,0.659631431,20313,1595724,TRUE,8.155448274,0.444,-7.321408839,-5.217300415,Luzerne,Luzerne County,42079,PA,Pennsylvania,41.177,-75.989,317663
0500000US42081,"Lycoming County, PA",10.749614,0.244223863,6234,581846,TRUE,8.186334503,0.428,-10.93350731,-5.370732784,Lycoming,Lycoming County,42081,PA,Pennsylvania,41.3434,-77.0645,114330
0500000US32019,"Lyon County, NV",9.7850418,-0.357703626,2282,257507,TRUE,9.130884922,0.395,-14.28535668,-6.63910675,Lyon,Lyon County,32019,NV,Nevada,39.0203,-119.1891,54380
0500000US26099,"Macomb County, MI",12.707823,0.56188643,37762,4187301,TRUE,8.16962428,0.404,-14.28535668,-5.525605202,Macomb,Macomb County,26099,MI,Michigan,42.6955,-82.9323,870325
0500000US01089,"Madison County, AL",11.748504,0.385841489,12516,1614222,TRUE,9.737866267,0.454,-12.5312882,-5.498025894,Madison,Madison County,01089,AL,Alabama,34.7631,-86.5502,362276
0500000US12079,"Madison County, FL",8.8211422,-0.661529303,1077,96521,TRUE,8.504928284,0.415,-14.28535668,-6.013767242,Madison,Madison County,12079,FL,Florida,30.4441,-83.4701,18460
0500000US17119,"Madison County, IL",11.57934,0.950338602,13145,1340038,TRUE,8.92074202,0.427,-14.28535668,-5.552699566,Madison,Madison County,17119,IL,Illinois,38.8297,-89.9049,264776
0500000US29123,"Madison County, MO",8.4673729,-0.386951894,849,61375,TRUE,4.651894726,0.407,-14.28535668,-6.044024467,Madison,Madison County,29123,MO,Missouri,37.478,-90.345,12179
0500000US31119,"Madison County, NE",9.5224466,-1.327945709,1750,173517,TRUE,9.284979275,0.42,-14.28535668,-5.136544228,Madison,Madison County,31119,NE,Nebraska,41.9167,-97.6008,35080
0500000US36053,"Madison County, NY",10.198058,1.155791402,2850,364437,TRUE,8.333450625,0.411,-14.28535668,-5.905933857,Madison,Madison County,36053,NY,New York,42.9128,-75.6696,71205
0500000US47113,"Madison County, TN",10.519214,0.038888372,4357,486787,TRUE,9.448306195,0.496,-14.28535668,-5.180360317,Madison,Madison County,47113,TN,Tennessee,35.6081,-88.8385,97625
0500000US39099,"Mahoning County, OH",11.503118,0.836207688,15057,1210010,TRUE,8.108638315,0.464,-9.886207413,-5.317864418,Mahoning,Mahoning County,39099,OH,Ohio,41.0146,-80.7763,229961
0500000US26101,"Manistee County, MI",9.282382,0.538755298,1387,124789,TRUE,8.401348276,0.421,-14.28535668,-5.461933136,Manistee,Manistee County,26101,MI,Michigan,44.333,-86.0568,24457
0500000US55071,"Manitowoc County, WI",10.439133,0.567387044,4033,408481,TRUE,8.626637856,0.398,-14.28535668,-5.683629036,Manitowoc,Manitowoc County,55071,WI,Wisconsin,44.1199,-87.8097,79185
0500000US55073,"Marathon County, WI",10.872522,1.11654985,5193,663181,TRUE,9.137747277,0.399,-14.28535668,-5.573616982,Marathon,Marathon County,55073,WI,Wisconsin,44.8983,-89.7591,135396
0500000US04013,"Maricopa County, AZ",14.139044,0.798598051,124665,18746795,TRUE,10.86515597,0.452,-14.28535668,-5.440683365,Maricopa,Maricopa County,04013,AZ,Arizona,33.349,-112.4915,4328810
0500000US29125,"Maries County, MO",8.1928473,-0.007823657,476,46005,TRUE,6.242061125,0.394,-14.28535668,-6.079823971,Maries,Maries County,29125,MO,Missouri,38.1616,-91.9249,8803
0500000US12083,"Marion County, FL",11.805342,0.019734291,20484,1634174,TRUE,8.415867119,0.443,-14.28535668,-5.500693798,Marion,Marion County,12083,FL,Florida,29.2102,-82.0567,353526
0500000US18097,"Marion County, IN",12.785718,0.627431691,36534,4453397,TRUE,6.339491791,0.46,-14.28535668,-5.520789146,Marion,Marion County,18097,IN,Indiana,39.7817,-86.1385,951869
0500000US28091,"Marion County, MS",9.1748171,0.358784944,1682,133793,TRUE,6.56813643,0.491,-14.28535668,-6.002153397,Marion,Marion County,28091,MS,Mississippi,31.2308,-89.8224,24990
0500000US39101,"Marion County, OH",10.121136,1.456318498,3338,332670,TRUE,8.464744844,0.42,-14.28535668,-5.6933259960000004,Marion,Marion County,39101,OH,Ohio,40.5872,-83.1609,65299
0500000US54049,"Marion County, WV",10.032057,0.223088279,3423,281714,TRUE,4.991282566,0.437,-6.583382672,-5.617533684,Marion,Marion County,54049,WV,West Virginia,39.51,-80.2434,56355
0500000US26103,"Marquette County, MI",10.151831,-0.288735449,2987,332514,TRUE,6.632473778,0.439,-14.28535668,-5.475241661,Marquette,Marquette County,26103,MI,Michigan,46.4314,-87.6416,66686
0500000US21157,"Marshall County, KY",9.45681,0.567325592,1956,156924,TRUE,7.072443105,0.414,-9.653162429,-5.949371338,Marshall,Marshall County,21157,KY,Kentucky,36.8834,-88.3294,31192
